periodo,macro_rubro,direccion,tipo_documento,comercios_total_macro,comercios_con_documento,cantidad_documentos,monto_total_documentos,docs_promedio_por_comercio,monto_promedio_por_documento,comercios_solo_boleta_emitida,comercios_solo_boleta_con_facturas_recibidas
2026-04,Minorista – Almacenes y Abarrotes,emitido,any,10954,6451,4583325,41430053697,710.4828708727329,9039.300878074324,5417,5392
2026-04,Minorista – Almacenes y Abarrotes,emitido,boleta,10954,6412,4482934,26113414867,699.1475358702432,5825.07234480811,5417,5392
2026-04,Minorista – Almacenes y Abarrotes,emitido,factura,10954,1034,97025,13570146245,93.83462282398453,139862.36789487247,5417,5392
2026-04,Minorista – Almacenes y Abarrotes,emitido,factura_compra,10954,5,27,16796645,5.4,622097.9629629629,5417,5392
2026-04,Minorista – Almacenes y Abarrotes,recibido,any,10954,6781,200020,40078676272,29.497124317947204,200373.34402559744,5417,5392
2026-04,Minorista – Almacenes y Abarrotes,recibido,boleta,10954,0,0,0,,,5417,5392
2026-04,Minorista – Almacenes y Abarrotes,recibido,factura,10954,6781,175115,36821142198,25.824362188467777,210268.35050109928,5417,5392
2026-04,Minorista – Almacenes y Abarrotes,recibido,factura_compra,10954,479,580,57031582,1.210855949895616,98330.31379310344,5417,5392
2026-04,Minorista – Ferretería y Hogar,emitido,any,1462,853,251225,6092498001,294.5193434935522,24251.161313563538,399,398
2026-04,Minorista – Ferretería y Hogar,emitido,boleta,1462,832,225433,2874382064,270.953125,12750.49377863933,399,398
2026-04,Minorista – Ferretería y Hogar,emitido,factura,1462,453,24683,2821312249,54.4878587196468,114301.8372564113,399,398
2026-04,Minorista – Ferretería y Hogar,emitido,factura_compra,1462,3,3,6365434,1.0,2121811.3333333335,399,398
2026-04,Minorista – Ferretería y Hogar,recibido,any,1462,900,19164,5240124896,21.293333333333333,273435.8639115007,399,398
2026-04,Minorista – Ferretería y Hogar,recibido,boleta,1462,0,0,0,,,399,398
2026-04,Minorista – Ferretería y Hogar,recibido,factura,1462,900,16358,4220314852,18.175555555555555,257996.9954762196,399,398
2026-04,Minorista – Ferretería y Hogar,recibido,factura_compra,1462,25,47,7400826,1.88,157464.3829787234,399,398
2026-04,Minorista – Mascotas y Salud,emitido,any,1758,856,318434,5099765742,372.00233644859816,16015.14204513337,641,638
2026-04,Minorista – Mascotas y Salud,emitido,boleta,1758,844,314165,4381173829,372.2334123222749,13945.4548692566,641,638
2026-04,Minorista – Mascotas y Salud,emitido,factura,1758,215,3502,628881671,16.288372093023256,179577.86150770987,641,638
2026-04,Minorista – Mascotas y Salud,emitido,factura_compra,1758,3,31,5851987,10.333333333333334,188773.7741935484,641,638
2026-04,Minorista – Mascotas y Salud,recibido,any,1758,934,16946,4367480712,18.143468950749465,257729.29965773635,641,638
2026-04,Minorista – Mascotas y Salud,recibido,boleta,1758,0,0,0,,,641,638
2026-04,Minorista – Mascotas y Salud,recibido,factura,1758,933,15311,3941194889,16.410503751339764,257409.37162824115,641,638
2026-04,Minorista – Mascotas y Salud,recibido,factura_compra,1758,16,18,725227,1.125,40290.38888888889,641,638
2026-04,Minorista – Ropa y Accesorios,emitido,any,2236,1019,174775,3068647323,171.5161923454367,17557.701747961666,873,864
2026-04,Minorista – Ropa y Accesorios,emitido,boleta,2236,1013,171653,2258828671,169.45014807502469,13159.272899395874,873,864
2026-04,Minorista – Ropa y Accesorios,emitido,factura,2236,146,2911,676328430,19.938356164383563,232335.4276880797,873,864
2026-04,Minorista – Ropa y Accesorios,emitido,factura_compra,2236,5,30,4773532,6.0,159117.73333333334,873,864
2026-04,Minorista – Ropa y Accesorios,recibido,any,2236,1165,9426,2240855515,8.090987124463519,237731.3298323785,873,864
2026-04,Minorista – Ropa y Accesorios,recibido,boleta,2236,0,0,0,,,873,864
2026-04,Minorista – Ropa y Accesorios,recibido,factura,2236,1164,8897,2000151572,7.643470790378007,224811.91098122962,873,864
2026-04,Minorista – Ropa y Accesorios,recibido,factura_compra,2236,13,15,11400191,1.1538461538461537,760012.7333333333,873,864
2026-04,Minorista – Tiendas Especializadas,emitido,any,2433,1121,244568,6964308808,218.16949152542372,28475.96091066697,831,827
2026-04,Minorista – Tiendas Especializadas,emitido,boleta,2433,1098,160187,1858194972,145.88979963570128,11600.160886963362,831,827
2026-04,Minorista – Tiendas Especializadas,emitido,factura,2433,290,83885,4494137296,289.2586206896552,53574.98117661084,831,827
2026-04,Minorista – Tiendas Especializadas,emitido,factura_compra,2433,3,52,121862996,17.333333333333332,2343519.153846154,831,827
2026-04,Minorista – Tiendas Especializadas,recibido,any,2433,1282,13559,4581332359,10.576443057722308,337881.2861567962,831,827
2026-04,Minorista – Tiendas Especializadas,recibido,boleta,2433,0,0,0,,,831,827
2026-04,Minorista – Tiendas Especializadas,recibido,factura,2433,1281,12342,3882886165,9.634660421545668,314607.5324096581,831,827
2026-04,Minorista – Tiendas Especializadas,recibido,factura_compra,2433,28,34,2851239,1.2142857142857142,83859.9705882353,831,827
2026-04,Minorista – Tiendas Varias,emitido,any,3903,1348,562641,8439904032,417.38946587537095,15000.513705897722,981,975
2026-04,Minorista – Tiendas Varias,emitido,boleta,3903,1327,522199,3137607872,393.51846269781464,6008.452471184357,981,975
2026-04,Minorista – Tiendas Varias,emitido,factura,3903,366,39437,4686564899,107.75136612021858,118836.74972741335,981,975
